952	603777740003771	CAS
985	606773677747600	BOVIS1
986	606773777777600	BOVIS1
1116	607777777720771	H3
662	614073777777600	BOV
1442	614077777777600	BOV
987	614173777777600	BOV
988	616601777777600	BOV
989	616733777777600	BOVIS1
990	616772777777600	BOVIS1
663	616773677777600	BOVIS1
991	616773737777600	BOVIS1
664	616773776377600	BOVIS1
992	616773777677600	BOVIS1
993	616773777757600	BOVIS1
994	616773777763600	BOVIS1
995	616773777775600	BOVIS1
1667	616773777777200	BOVIS1
665	616773777777600	BOVIS1
416	616777677777600	BOV
1443	616777777777600	BOV
1102	617776777760401	X1
478	617776777760601	X2
1803	617777607760771	LAM9
418	617777777720771	H3
1859	624073777700600	BOV
1303	624073777777600	BOV
419	630000207760771	LAM9
996	636373677777600	BOV
1156	636377607760771	LAM9-S
1587	636377770760771	S
997	636773777777600	BOVIS1
1633	637403607760671	LAM9
420	637774777760730	T2
128	637775777760730	T2
1489	637777477413750	EAI5
1886	637777477413771	EAI5
578	637777607760771	LAM9
1164	637777777700371	U
849	637777777720771	H3
285	637777777760771	T1
1862	640000037777600	BOV
829	640003777777600	BOV
1158	640013377777600	BOVIS3
1304	640013737777600	BOVIS3
1846	640013776777600	BOVIS3
666	640013777177600	BOVIS3
1818	640013777763600	BOVIS3
479	640013777777600	BOVIS3
1298	642217777777600	BOV
667	644073777777600	BOV
998	644773777767600	BOV
999	646770077767600	BOV
1000	646773776167600	BOVIS1
1001	646773777767200	BOVIS1
1002	646773777767600	BOVIS1
1213	647737607760771	LAM2
668	656473737777600	BOVIS1
670	656573377777600	BOVIS1
594	656573777777600	BOVIS1
1003	656773777777600	BOVIS1
377	657737607760771	LAM2
1512	657777477413701	EAI2_MANILLA
633	657777607760731	LAM4
729	657777607760771	LAM1
1682	662773677777600	BOVIS1
1004	662773777777600	BOVIS1
1713	663777607760771	LAM1
671	664043777777600	BOV
1308	664063777700600	BOV
1666	664063777776600	BOV
672	664063777777600	BOV
673	664070377777600	BOV
674	664071777777600	BOV
1856	664072777777600	BOVIS2
1297	664073077777600	BOVIS2
675	664073377777600	BOVIS2
1722	664073677777200	BOVIS2
1723	664073770037600	BOVIS2
676	664073774037600	BOVIS2
1850	664073776177600	BOVIS2
1863	664073777577600	BOVIS2
1625	664073777700600	BOVIS2
1861	664073777707600	BOVIS2
677	664073777740600	BOVIS2
1860	664073777741600	BOVIS2
678	664073777757600	BOVIS2
679	664073777763600	BOVIS2
680	664073777767600	BOVIS2
1855	664073777773600	BOVIS2
681	664073777776600	BOVIS2
682	664073777777200	BOVIS2
684	666773677777600	BOVIS1
1603	666773777677600	BOVIS1
